SA2 Code,SA2 Name,Region (SA3),LGA Code,LGA Name,Total Businesses,Manufacturing Businesses,Healthcare Businesses,Tourism Businesses,Unemployment,Unemployment Rate (%),JobSeeker Payment,Labour Force,Value of building job(s),Number of dwellings approved,Resident Spend,Visitor Spend,House Price (Current),House Rent (P/W),Listing Visits per Property,Unit Price (Current),Unit Rent (P/W),Median Household Income,Total Population,Population Change 2023-24,Net overseas migration,Net internal migration,Natural increase in ERP,Median Age,% Under 20,% Over 69,% Born Overseas,% Language Other Than English,Population density 2024 (persons/km2),% Completed Year 12,% Bachelor Degree,% Indigenous,Total Indigenous,Homelessness,Age Pension,Pension Concession Card,Commonwealth Rent Assistance,Family Tax Benefit A,Youth Allowance (other),Parenting Payment Single,Health Care Card,Carer Allowance,Disability Support Pension,Airbnb Occupancy Rate,Airbnb ADR,Airbnb  Gross Revenue,Airbnb Active Listings,Index of Relative Socio-economic Advantage and Disadvantage,Index of Education and Occupation,Index of Relative Socio-economic Disadvantage ,Index of Economic Resources,"Assault Rate (per 1,000)","Theft Rate (per 1,000)","Intimidation, Stalking & Harassment Rate (per 1,000)","Malicious Damage to Property Rate (per 1,000)","Drug Offences Rate (per 1,000)"
122031430,Manly Vale - Allambie Heights,Warringah,15990,Northern Beaches,1594.0,56.0,117.0,33.0,364.0,3.5,200.0,10380.0,46272.706,27.0,,,,,,,,2187.0,17936.0,269.0,299.0,-35.0,5.0,39.0,,,29.29,15.63,1917.4,50.24,17.84,0.5,85.0,36.0,1265.0,1685.0,560.0,260.0,10.0,55.0,315.0,175.0,225.0,,,,,1133.42015,1116.5861531,1090.303102,1100.346197,,,,,
111011207,Belmont South - Blacksmiths,Lake Macquarie - East,14650,Lake Macquarie,332.0,14.0,13.0,30.0,150.0,5.3,220.0,2826.0,12334.553,9.0,,,,,,,,1010.0,5792.0,77.0,22.0,48.0,7.0,47.0,19.93,17.2,6.49,2.48,850.9,24.56,6.26,5.08,285.0,66.0,960.0,1615.0,470.0,250.0,20.0,100.0,225.0,210.0,315.0,,,,,924.5167172,900.6088165,950.5320878,952.9131365,,,,,
122011419,Manly - Fairlight,Manly,15990,Northern Beaches,3380.0,59.0,247.0,172.0,514.0,3.2,265.0,15928.0,126023.901,48.0,,,,,,,,2481.0,24289.0,638.0,982.0,-497.0,153.0,37.0,,,37.38,15.02,3606.3,63.61,27.41,0.41,89.0,103.0,795.0,1265.0,550.0,200.0,10.0,45.0,330.0,95.0,255.0,,,,,1169.505746,1177.9399432,1104.501299,1019.805648,,,,,
118021566,Maroubra - North,Eastern Suburbs - South,16550,Randwick,1307.0,21.0,165.0,31.0,171.0,2.8,120.0,6058.0,,,,,,,,,,2069.0,10307.0,113.0,300.0,-169.0,-18.0,39.0,,,38.8,35.97,5690.7,57.42,21.12,0.69,68.0,,710.0,960.0,185.0,125.0,5.0,20.0,150.0,135.0,120.0,,,,,1126.746646,1121.7335695,1082.515252,1049.415659,,,,,
108051168,Old Bar - Manning Point - Red Head,Taree - Gloucester,15240,Mid-Coast,,,,,163.0,2.8,,5892.0,,,,,,,,,,1043.0,13202.0,196.0,28.0,223.0,-55.0,51.0,,,10.79,2.75,63.0,29.87,8.56,4.12,434.0,34.0,,,,,,,,,,,,,,,,,,,,,,
108051171,Wingham,Taree - Gloucester,15240,Mid-Coast,,,,,126.0,5.2,,2414.0,,,,,,,,,,912.0,5397.0,-23.0,5.0,-39.0,11.0,47.0,,,6.92,2.2,87.7,21.66,5.01,5.9,317.0,39.0,,,,,,,,,,,,,,,,,,,,,,
121031410,St Ives,Ku-ring-gai,14500,Ku-ring-gai,,,,,437.0,3.9,,11259.0,,,,,,,,,,2542.0,22724.0,313.0,451.0,-95.0,-43.0,42.0,,,44.94,27.6,1278.3,60.1,23.16,0.13,27.0,29.0,,,,,,,,,,,,,,,,,,,,,,
120021389,Lilyfield - Rozelle,Leichhardt,14170,Inner West,1925.0,54.0,177.0,86.0,434.0,4.9,380.0,8947.0,,,,,,,,,,2601.0,14152.0,235.0,257.0,-134.0,112.0,38.0,,,28.53,15.37,3926.9,58.18,23.44,0.99,139.0,132.0,740.0,1355.0,440.0,185.0,15.0,45.0,365.0,130.0,325.0,,,,,1155.26024,1167.8983974,1087.517951,1048.155916,,,,,
118021570,Randwick - South,Eastern Suburbs - South,16550,Randwick,1603.0,16.0,339.0,92.0,293.0,3.2,185.0,9152.0,,,,,,,,,,2148.0,13545.0,223.0,563.0,-388.0,48.0,33.0,,,41.66,26.4,4016.3,61.77,24.63,0.5,66.0,,645.0,975.0,300.0,125.0,5.0,25.0,250.0,100.0,170.0,,,,,1147.77487,1156.4081359,1087.32755,984.4133847,,,,,
115021298,Galston - Laughtondale,Dural - Wisemans Ferry,14000,Hornsby,786.0,31.0,39.0,17.0,,,70.0,,13132.665,4.0,,,,,,,,1942.0,5482.0,32.0,41.0,3.0,-12.0,44.0,,,18.2,9.12,28.6,44.45,13.67,0.86,45.0,5.0,545.0,685.0,95.0,100.0,5.0,20.0,110.0,70.0,55.0,,,,,1103.372451,1079.9868531,1089.98064,1123.94233,,,,,
117021328,Sydenham - Tempe - St Peters,Marrickville - Sydenham - Petersham,14170,Inner West,1194.0,77.0,52.0,49.0,231.0,4.2,210.0,5486.0,,,,,,,,,,2092.0,8844.0,171.0,192.0,-92.0,71.0,35.0,,,33.33,29.81,2294.8,56.97,19.83,1.77,139.0,27.0,570.0,895.0,270.0,150.0,10.0,25.0,270.0,125.0,135.0,,,,,1115.718339,1113.3882083,1055.550523,1013.809355,,,,,
111031227,Mayfield - Warabrook,Newcastle,15900,Newcastle,1172.0,48.0,133.0,50.0,560.0,6.1,750.0,9203.0,39744.332,36.0,,,,,,,,1235.0,15962.0,153.0,141.0,22.0,-10.0,37.0,19.84,11.79,14.62,10.15,2117.8,40.21,12.26,3.79,564.0,202.0,1725.0,3530.0,1470.0,605.0,105.0,175.0,895.0,365.0,1025.0,,,,,981.7209238,1004.8987876,985.995168,942.9594577,,,,,
121031412,Wahroonga (East) - Warrawee,Ku-ring-gai,14500,Ku-ring-gai,,,,,380.0,4.0,,9484.0,,,,,,,,,,2810.0,18222.0,16.0,297.0,-229.0,-52.0,42.0,,,34.29,21.49,1367.3,59.49,23.9,0.4,72.0,35.0,,,,,,,,,,,,,,,,,,,,,,
118021567,Maroubra - South,Eastern Suburbs - South,16550,Randwick,1030.0,17.0,88.0,36.0,612.0,9.3,385.0,6572.0,,,,,,,,,,1529.0,11546.0,126.0,310.0,-250.0,66.0,38.0,,,38.2,32.24,5591.3,53.71,18.11,1.97,210.0,122.0,1070.0,2040.0,240.0,285.0,20.0,110.0,365.0,235.0,555.0,,,,,1052.726658,1090.4591381,989.2670345,944.8527878,,,,,
121021404,Berowra - Brooklyn - Cowan,Hornsby,14000,Hornsby,,,,,,,,,28832.479000000003,19.0,,,,,,,,2153.0,11729.0,-39.0,95.0,-161.0,27.0,40.0,,,21.4,9.69,143.5,47.23,15.46,0.81,95.0,16.0,,,,,,,,,,,,,,,,,,,,,,
104021089,Sawtell - Boambee,Coffs Harbour,11800,Coffs Harbour,1304.0,47.0,151.0,60.0,,,795.0,,,,,,,,,,,,20362.0,87.0,91.0,-23.0,19.0,,,,,,172.2,,,,,,3155.0,5365.0,1835.0,1260.0,125.0,430.0,1025.0,735.0,915.0,,,,,949.0500655,943.90725556,976.145802,984.9697697,,,,,
117031640,Newtown (NSW),Sydney Inner City,14170,Inner West,,,,,,,,,,,,,,,,,,,15548.0,149.0,494.0,-419.0,74.0,,,,,,9898.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
117031333,Potts Point - Woolloomooloo,Sydney Inner City,17200,Sydney,3040.0,42.0,232.0,202.0,760.0,5.5,680.0,13810.0,,,,,,,,,,1861.0,19653.0,571.0,954.0,-347.0,-36.0,35.0,,,34.75,18.26,13427.8,62.28,26.0,1.07,227.0,205.0,1045.0,2050.0,905.0,205.0,20.0,95.0,555.0,130.0,530.0,,,,,1134.260043,1168.7359123,1050.486652,873.0775244,,,,,
117031643,Rosebery - Beaconsfield,Sydney Inner City,17200,Sydney,,,,,,,,,,,,,,,,,,,13593.0,261.0,406.0,-287.0,142.0,,,,,,8276.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
